Date,S&P500_Close,S&P500_High,S&P500_Low,S&P500_Open,S&P500_Volume,S&P500_%Change,VIX_Open,VIX_High,VIX_Low,VIX_Close,VFIX_Open,VFIX_High,VFIX_Low,VFIX_Close,OilFutures_Price,OilFutures_Open,OilFutures_High,OilFutures_Low,OilFutures_Vol,OilFutures_Change%
09/11/24,5554.1298828125,5560.41015625,5406.9599609375,5496.419921875,3839450000,0.0163751990812829,19.41,21.41,17.55,17.69,513.72,513.72,513.72,513.72,66.6,65.73,67.14,64.99,237.2,0.0224
09/12/24,5595.759765625,5600.7099609375,5535.5,5557.47998046875,3655070000,0.0603172364876995,17.62,18.59,16.89,17.07,517.58,517.58,517.58,517.58,68.15,66.68,68.93,66.55,221.59,0.0233
09/13/24,5626.02001953125,5636.27001953125,5601.64990234375,5603.33984375,3500790000,0.135461107025444,17.03,17.18,16.23,16.56,520.46,520.46,520.46,520.46,67.75,68.35,69.35,67.58,230.3,-0.0059
09/16/24,5633.08984375,5636.0498046875,5604.52978515625,5615.2099609375,3437070000,-0.192143976669508,17.16,17.69,16.91,17.14,521.21,521.21,521.21,521.21,69.02,68.22,69.61,67.7,235.88,0.0187
09/17/24,5634.580078125,5670.81005859375,5614.0498046875,5655.509765625,3443600000,0.398003981773436,17.16,18.08,16.67,17.61,521.36,521.36,521.36,521.36,69.96,69.35,70.65,68.51,289.93,0.0136
09/18/24,5618.259765625,5689.75,5615.080078125,5641.68017578125,3691390000,0.126009348661394,17.58,19.39,17.11,18.23,519.86,519.86,519.86,519.86,69.88,69.98,70.31,68.58,367.19,-0.0011
09/19/24,5713.64013671875,5733.56982421875,5686.419921875,5702.6298828125,4024530000,1.50171264247541,17.21,17.27,16.21,16.33,528.71,528.71,528.71,528.71,71.16,69.15,71.53,69.13,354.93,0.0183
09/20/24,5702.5498046875,5715.14013671875,5674.490234375,5709.64013671875,7867260000,-0.0700079092187478,16.35,16.68,15.81,16.15,527.69,527.69,527.69,527.69,71,71.18,71.45,70.37,307,-0.0022
09/23/24,5718.56982421875,5725.35986328125,5704.22021484375,5711.89990234375,3529550000,0.163963454533343,16.71,16.95,15.75,15.89,529.17,529.17,529.17,529.17,69.61,70.43,70.94,68.73,185.35,-0.0196
09/24/24,5732.93017578125,5735.31982421875,5698.990234375,5727.66015625,3872710000,0.158961633951753,15.87,16.67,15.27,15.39,530.5,530.5,530.5,530.5,70.84,69.96,71.6,69.69,167.02,0.0177
09/25/24,5722.259765625,5741.02978515625,5712.06005859375,5733.64990234375,3624910000,0.0125542530683608,15.82,15.82,15.17,15.41,529.51,529.51,529.51,529.51,69.13,70.84,71.04,68.69,272.17,-0.0241
09/26/24,5745.3701171875,5767.3701171875,5721.009765625,5762.22021484375,4391180000,0.698333365758788,15.06,15.83,14.9,15.37,531.68,531.68,531.68,531.68,67.19,69.3,69.47,66.49,274.69,-0.0281
09/27/24,5738.169921875,5763.77978515625,5727.33984375,5755.35986328125,3898530000,0.173874718077175,15.64,16.97,15.2,16.96,529.52,529.52,529.52,529.52,67.67,66.95,68.13,66.58,169.9,0.0071
